regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abrantes	Abrantes	2021-02-22	2021-02-22T00:00:00.000Z		771			0			0			0.0		https://covid19.min-saude.pt/
Abruzzo	Abruzzo	2021-02-22		1620	51093	36549	918825				503		6.43	399.14	257.43	http://www.salute.gov.it/
Adygea	Adygea	2021-02-22	2021-02-21T08:00:00.000Z	144	13694	11974		15			0		1.0	18.86	25.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2021-02-22	2021-02-21T12:00:00.000Z		1877									21.71		https://www.fhi.no/
Akmola_Region	Akmola Region	2021-02-22		104	13177	11782							0.0	77.14	113.86	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2021-02-22		50	4191	3962							0.0	13.29	8.57	https://www.coronavirus2020.kz/
Albergaria-a-Velha	Albergaria-a-Velha	2021-02-22	2021-02-22T00:00:00.000Z		679			0			0			0.0		https://covid19.min-saude.pt/
Albufeira	Albufeira	2021-02-22	2021-02-22T00:00:00.000Z		636			0			0			0.0		https://covid19.min-saude.pt/
Alcanena	Alcanena	2021-02-22	2021-02-22T00:00:00.000Z		1273			0			0			0.0		https://covid19.min-saude.pt/
Alcochete	Alcochete	2021-02-22	2021-02-22T00:00:00.000Z		1339			0			0			0.0		https://covid19.min-saude.pt/
Alenquer,_Portugal	Alenquer, Portugal	2021-02-22	2021-02-22T00:00:00.000Z		1357			0			0			0.0		https://covid19.min-saude.pt/
Almada	Almada	2021-02-22	2021-02-22T00:00:00.000Z		1428			0			0			0.0		https://covid19.min-saude.pt/
Almaty	Almaty	2021-02-22		452	24359	22472							0.0	103.0	78.57	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2021-02-22		114	10476	9484							0.0	49.29	107.43	https://www.coronavirus2020.kz/
Almeida,_Portugal	Almeida, Portugal	2021-02-22	2021-02-22T00:00:00.000Z		1664			0			0			0.0		https://covid19.min-saude.pt/
Almeirim	Almeirim	2021-02-22	2021-02-22T00:00:00.000Z		1002			0			0			0.0		https://covid19.min-saude.pt/
Altai_Krai	Altai Krai	2021-02-22	2021-02-21T08:00:00.000Z	1436	42555	38048		148			0		9.0	132.43	121.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2021-02-22	2021-02-21T08:00:00.000Z	146	16090	15669		26			0		0.43	22.14	40.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amadora	Amadora	2021-02-22	2021-02-22T00:00:00.000Z		1647			0			0			0.0		https://covid19.min-saude.pt/
Amarante,_Portugal	Amarante, Portugal	2021-02-22	2021-02-22T00:00:00.000Z		752			0			0			0.0		https://covid19.min-saude.pt/
Amares	Amares	2021-02-22	2021-02-22T00:00:00.000Z		557			0			0			0.0		https://covid19.min-saude.pt/
Amstetten_District	Amstetten District	2021-02-22	2021-02-21T21:00:00.000Z	122	7396	7076							0.14	12.57	17.43	https://info.gesundheitsministerium.at/
Amur_Oblast	Amur Oblast	2021-02-22	2021-02-21T08:00:00.000Z	163	20692	19104		48			0		1.71	36.29	38.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Anadia,_Portugal	Anadia, Portugal	2021-02-22	2021-02-22T00:00:00.000Z		807			0			0			0.0		https://covid19.min-saude.pt/
Aosta_Valley	Aosta Valley	2021-02-22		414	7964	7417	75666				5		0.14	6.57	7.14	http://www.salute.gov.it/
Apulia	Apulia	2021-02-22		3765	140459	103496	1494986				758		20.57	708.29	1725.71	http://www.salute.gov.it/
Arcos_de_Valdevez	Arcos de Valdevez	2021-02-22	2021-02-22T00:00:00.000Z		1333			0			0			0.0		https://covid19.min-saude.pt/
Arganil	Arganil	2021-02-22	2021-02-22T00:00:00.000Z		1298			0			0			0.0		https://covid19.min-saude.pt/
Arkhangelsk_Oblast	Arkhangelsk Oblast	2021-02-22	2021-02-21T08:00:00.000Z	613	55650	49743		169			0		8.71	152.0	164.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Arouca,_Portugal	Arouca, Portugal	2021-02-22	2021-02-22T00:00:00.000Z		656			0			0			0.0		https://covid19.min-saude.pt/
Arruda_dos_Vinhos	Arruda dos Vinhos	2021-02-22	2021-02-22T00:00:00.000Z		1200			0			0			0.0		https://covid19.min-saude.pt/
